time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.03621,1.06733,-0.0125902,-0.00358731,0.00171903,-0.00671601,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0107043,-0.00235577,0.0211456,-0.00157891,-0.0194265,-0.0051371,3.99397,-0.298224,-4.39337,0.328046,4.03621,1.06733,
0.00823945,2.03632,1.06681,-0.00860775,-0.0126378,0.00172038,-0.00671324,0.217325,0.216192,0.213002,0.216535,0.219028,0.216022,0.214907,0.101138,0.101139,0.101142,0.101138,0.101136,0.101139,0.10114,0.00869508,0.00222854,0.0211474,-0.00157862,-0.0194271,-0.00513461,3.99433,-0.298171,-4.39376,0.327988,4.03632,1.06681,
0.0166171,2.03587,1.06703,-0.0156713,-0.00653946,0.00174216,-0.00679075,0.235691,0.233249,0.226814,0.23413,0.239172,0.233026,0.230732,0.102495,0.102483,0.102448,0.102485,0.102513,0.102481,0.102469,0.0114807,0.000674581,0.0213874,-0.00159654,-0.0196452,-0.00519421,3.99433,-0.298171,-4.39359,0.327975,4.0357,1.06704,
0.0249889,2.03599,1.06654,-0.0109835,-0.0147271,0.00176572,-0.00687852,0.254496,0.250815,0.240989,0.25213,0.259856,0.250422,0.24696,0.104061,0.10402,0.103909,0.104032,0.10412,0.104015,0.103976,0.0102392,0.00402311,0.021672,-0.00161757,-0.0199062,-0.00526094,3.99451,-0.298152,-4.39361,0.32794,4.03564,1.06656,
0.0328498,2.03568,1.06668,-0.0150637,-0.00994328,0.001793,-0.00698325,0.272109,0.267242,0.254311,0.269051,0.279297,0.266715,0.262179,0.105732,0.10565,0.105427,0.105676,0.105851,0.10564,0.105562,0.0117577,0.00288205,0.0219962,-0.00164237,-0.0202032,-0.00534088,3.99436,-0.298258,-4.39326,0.328044,4.03515,1.06672,
0.0412631,2.03521,1.06528,-0.0216105,-0.0346995,0.00182148,-0.00708704,0.290819,0.284648,0.268342,0.28691,0.29981,0.283978,0.278298,0.107718,0.107578,0.107199,0.107625,0.107924,0.107562,0.107429,0.015472,0.0143278,0.0223391,-0.00166923,-0.0205176,-0.0054178,3.99397,-0.298469,-4.39266,0.328263,4.0345,1.06533,
0.0499435,2.03448,1.06489,-0.0319107,-0.0364089,0.00186063,-0.00721367,0.310279,0.302778,0.282959,0.305464,0.321203,0.301955,0.295086,0.109981,0.109765,0.109184,0.10984,0.110299,0.10974,0.109537,0.0218316,0.0192631,0.0227497,-0.00169847,-0.0208891,-0.0055152,3.99432,-0.29826,-4.39285,0.328019,4.03358,1.06496,
0.0584484,2.03518,1.06533,-0.0135908,-0.022197,0.00189574,-0.00736289,0.330102,0.321232,0.297831,0.324368,0.342949,0.320333,0.312164,0.112413,0.112107,0.111285,0.112212,0.112863,0.112071,0.111785,0.0153157,0.01416,0.0232145,-0.00173255,-0.0213187,-0.00563034,3.99445,-0.298186,-4.3928,0.327923,4.03409,1.06541,
0.0668099,2.03479,1.06597,-0.0187743,-0.00681877,0.00193923,-0.00752362,0.349407,0.339264,0.312359,0.342822,0.364192,0.338158,0.328774,0.115017,0.114606,0.113507,0.114748,0.115619,0.11456,0.114177,0.0154773,0.00478301,0.0237121,-0.00176896,-0.0217729,-0.00575466,3.99456,-0.298099,-4.39272,0.327812,4.0335,1.06607,
0.0749522,2.03507,1.06575,-0.0108179,-0.00985225,0.00198124,-0.00769102,0.368629,0.35715,0.326806,0.361191,0.385305,0.355922,0.345306,0.117752,0.117225,0.115817,0.117407,0.118523,0.117166,0.116676,0.0117101,0.00275979,0.0242431,-0.00180838,-0.0222619,-0.00588264,3.99456,-0.298099,-4.39253,0.327797,4.03358,1.06586,
