time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,3.1753,0.66162,-0.0183291,0.00267162,-0.00176985,-0.00525627,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0148268,-0.00714448,-0.00176985,-0.00525627,0,7.27596e-12,4.22306,0.00932559,0.318785,0.650896,0,0,
0.00815994,3.17502,0.661414,-0.0206654,-0.00154723,-0.00176829,-0.00525443,0.227181,0.226063,0.225043,0.225182,0.22563,0.225632,0.225631,0.10065,0.10065,0.10065,0.10065,0.100651,0.100651,0.100651,0.0162404,-0.00458465,-0.00176829,-0.00525443,0,0,4.22305,0.00933048,0.318512,0.650684,0,0,
0.0165149,3.17469,0.661491,-0.0236897,0.000128672,-0.00177797,-0.00528923,0.254407,0.252175,0.250121,0.250393,0.251305,0.251309,0.251304,0.101515,0.101507,0.101499,0.1015,0.101504,0.101504,0.101504,0.0184252,-0.00476829,-0.00177797,-0.00528923,-3.63798e-12,1.45519e-11,4.22305,0.00932564,0.318188,0.650767,0,0,
0.0250849,3.17452,0.66174,-0.0231175,0.00480142,-0.00179209,-0.0053362,0.282834,0.279437,0.27631,0.276727,0.278114,0.278115,0.27811,0.102604,0.102579,0.102555,0.102558,0.102569,0.102569,0.102569,0.0188719,-0.00756575,-0.00179209,-0.0053362,7.27596e-12,0,4.22305,0.00932761,0.318012,0.651013,0,0,
0.0330965,3.17418,0.661674,-0.0258602,0.0028778,-0.00180907,-0.00539158,0.309256,0.304778,0.300649,0.301196,0.303032,0.303027,0.303025,0.103818,0.103769,0.103723,0.103728,0.10375,0.10375,0.10375,0.020601,-0.00749727,-0.00180907,-0.00539158,1.81899e-11,-2.18279e-11,4.22303,0.00933434,0.317693,0.650939,0,0,
0.0416517,3.17383,0.661569,-0.0282513,0.000431027,-0.00182791,-0.00545266,0.337339,0.331712,0.326523,0.327208,0.329513,0.329509,0.329508,0.105307,0.105224,0.105146,0.105156,0.105192,0.105192,0.105192,0.0225968,-0.00609815,-0.00182791,-0.00545266,1.45519e-11,-5.82077e-11,4.22303,0.00934735,0.317348,0.650819,0,0,
0.0498428,3.17365,0.661731,-0.0274474,0.0033769,-0.00185229,-0.00553006,0.364193,0.357466,0.351268,0.352085,0.354836,0.354831,0.354834,0.106927,0.106803,0.106688,0.106703,0.106755,0.106755,0.106755,0.0228406,-0.00734113,-0.00185229,-0.00553006,-2.18279e-11,-7.27596e-11,4.22303,0.00934735,0.31716,0.650981,0,0,
0.0582714,3.17343,0.661591,-0.0272198,0.000221213,-0.00187868,-0.00561093,0.391865,0.384005,0.37677,0.377726,0.380931,0.380931,0.380929,0.108784,0.108611,0.108449,0.108469,0.108543,0.108543,0.108543,0.022784,-0.00601751,-0.00187868,-0.00561093,-5.45697e-11,-8.00355e-11,4.22301,0.00937046,0.316961,0.650815,0,0,
0.0664664,3.17331,0.661671,-0.0252584,0.00167501,-0.00190934,-0.00570638,0.41919,0.410208,0.401954,0.403052,0.406696,0.406695,0.406694,0.110778,0.110548,0.110334,0.110361,0.110458,0.110458,0.110458,0.0216113,-0.00643661,-0.00190934,-0.00570638,-7.63976e-11,-5.82077e-11,4.22305,0.00933188,0.316807,0.650939,0,0,
0.0750473,3.17286,0.661598,-0.0296309,2.92049e-05,-0.00194035,-0.00580665,0.447501,0.437359,0.428048,0.42929,0.433392,0.433392,0.43339,0.113059,0.112762,0.112486,0.112521,0.112646,0.112646,0.112646,0.0236922,-0.00568377,-0.00194035,-0.00580665,-7.27596e-11,-7.27596e-11,4.22305,0.00933188,0.316358,0.650866,0,0,
