time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,3.04462,0.498939,0.0115428,-0.0290434,-0.0156635,-0.00761204,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.0325452,0.0257069,-0.0156635,-0.00761204,0,1.45519e-11,3.71806,0.0317714,0.954762,0.46399,0,0,
0.00761257,3.04508,0.49772,0.0181621,-0.0470155,-0.0156707,-0.00759191,0.209615,0.209165,0.208964,0.208941,0.209037,0.209038,0.209038,0.101043,0.101044,0.101043,0.101044,0.101044,0.101044,0.101044,-0.0378835,0.0401659,-0.0156707,-0.00759191,0,0,3.71805,0.0317711,0.955221,0.462771,0,0,
0.0158498,3.04514,0.497525,0.0165263,-0.0434582,-0.0158351,-0.0076681,0.219928,0.218994,0.218578,0.218529,0.218732,0.218733,0.218732,0.102275,0.102272,0.102267,0.102269,0.102271,0.102271,0.102271,-0.0383961,0.0419704,-0.0158351,-0.0076681,-7.27596e-12,0,3.71806,0.0317602,0.955276,0.462589,0,0,
0.0243803,3.04481,0.498124,0.00773643,-0.0251947,-0.0160218,-0.0077714,0.230753,0.229311,0.228671,0.228598,0.228908,0.228908,0.228907,0.103665,0.103651,0.103639,0.103641,0.103647,0.103647,0.103647,-0.0319829,0.0285738,-0.0160218,-0.0077714,0,2.91038e-11,3.71807,0.0317539,0.95494,0.463195,0,0,
0.0326752,3.04441,0.498419,-0.00102067,-0.0157949,-0.0162297,-0.00788205,0.241397,0.239453,0.238597,0.238499,0.238915,0.238913,0.238912,0.10513,0.1051,0.105079,0.105081,0.105092,0.105092,0.105092,-0.0231364,0.0164039,-0.0162297,-0.00788205,3.63798e-11,0,3.71811,0.0316952,0.95449,0.463554,0,0,
0.0410563,3.04435,0.498389,-0.00196922,-0.0138618,-0.0164554,-0.00799095,0.252078,0.249631,0.248559,0.248436,0.248954,0.248952,0.248952,0.106724,0.10667,0.106638,0.106639,0.106656,0.106656,0.106656,-0.019388,0.010339,-0.0164554,-0.00799095,5.82077e-11,-2.91038e-11,3.71808,0.0317195,0.954463,0.463498,0,0,
0.0494562,3.04415,0.498738,-0.00547862,-0.00514514,-0.0166974,-0.00811612,0.262828,0.259875,0.258587,0.258438,0.25906,0.259058,0.259059,0.108432,0.108349,0.108302,0.108304,0.108328,0.108328,0.108328,-0.0155192,0.00133369,-0.0166974,-0.00811612,7.27596e-12,-5.82077e-11,3.71807,0.0317227,0.954269,0.463843,0,0,
0.0577614,3.04442,0.498655,0.000424512,-0.00591055,-0.0169652,-0.00824264,0.273438,0.269986,0.268487,0.26831,0.269033,0.269033,0.269032,0.11023,0.110113,0.110049,0.11005,0.110083,0.110083,0.110082,-0.0188177,-0.00147041,-0.0169652,-0.00824264,-4.36557e-11,-7.27596e-11,3.71806,0.0317091,0.954552,0.463775,0,0,
0.0657728,3.04471,0.497732,0.00569652,-0.0219868,-0.0172458,-0.00835994,0.283675,0.279744,0.278043,0.277837,0.278656,0.278656,0.278655,0.112066,0.111911,0.111828,0.111829,0.11187,0.11187,0.11187,-0.0242608,0.009713,-0.0172458,-0.00835994,-9.45874e-11,-5.82077e-11,3.71806,0.0316991,0.95484,0.462863,0,0,
0.0743281,3.04479,0.497564,0.00625295,-0.0216104,-0.0175282,-0.00849311,0.29456,0.290119,0.288204,0.287965,0.288887,0.288888,0.288887,0.114132,0.11393,0.113825,0.113824,0.113877,0.113877,0.113877,-0.0269073,0.0134493,-0.0175282,-0.00849311,-9.45874e-11,-7.27596e-11,3.71806,0.0316956,0.954922,0.462699,0,0,
