time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.03504,1.31122,0.0228605,0.0100201,0.00049549,-0.0061154,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.0266622,-0.0193226,0.0206228,0.00042514,-0.0201273,-0.00654054,3.75852,0.0774822,-4.13438,-0.0852305,4.03504,1.31122,
0.00851799,2.03516,1.31162,0.021462,0.0159318,0.000494793,-0.00611735,0.209449,0.208839,0.207093,0.208776,0.210288,0.208777,0.20806,0.101174,0.101175,0.101178,0.101175,0.101172,0.101175,0.101177,-0.025552,-0.0240898,0.0206227,0.000425187,-0.0201279,-0.00654254,3.75851,0.0774909,-4.13436,-0.08524,4.03516,1.31162,
0.0165357,2.03504,1.31133,0.0161213,0.00824034,0.000501124,-0.00618774,0.218578,0.217344,0.213966,0.217292,0.22024,0.217275,0.215864,0.102376,0.102371,0.102356,0.102369,0.102382,0.10237,0.102364,-0.0211478,-0.0197291,0.020864,0.000430178,-0.0203629,-0.00661792,3.75849,0.0774932,-4.13416,-0.0852389,4.03487,1.31133,
0.0248458,2.03479,1.31145,0.00899258,0.00919755,0.000508029,-0.00626199,0.228339,0.226482,0.221327,0.226388,0.230897,0.22635,0.224217,0.103717,0.103699,0.103646,0.103695,0.103742,0.103697,0.103676,-0.014122,-0.0189586,0.0211094,0.000434726,-0.0206014,-0.00669671,3.75844,0.0773982,-4.13394,-0.085131,4.03445,1.31145,
0.0337371,2.03519,1.31156,0.0149786,0.00963692,0.000512615,-0.00634376,0.23871,0.236185,0.229172,0.236071,0.242262,0.235994,0.233105,0.105263,0.105222,0.105104,0.105216,0.105318,0.105218,0.10517,-0.0160755,-0.0191042,0.0213824,0.000440379,-0.0208698,-0.00678414,3.75844,0.0773982,-4.13376,-0.0851273,4.03467,1.31155,
0.0415791,2.03553,1.31199,0.0191129,0.0161102,0.000519373,-0.00643905,0.24779,0.244647,0.235988,0.244515,0.252147,0.244415,0.240861,0.106728,0.106659,0.106464,0.106651,0.106822,0.106653,0.106574,-0.0199369,-0.0241682,0.0216966,0.000447002,-0.0211772,-0.00688605,3.75861,0.0774196,-4.13376,-0.085147,4.03482,1.31197,
0.0497285,2.03549,1.31223,0.015528,0.0180781,0.000526173,-0.00652793,0.257346,0.253561,0.24317,0.253385,0.262565,0.253285,0.249034,0.108341,0.108236,0.107942,0.108226,0.108484,0.108227,0.108107,-0.0186001,-0.0275978,0.0219918,0.000453505,-0.0214656,-0.00698144,3.75852,0.0774798,-4.13349,-0.0852096,4.03461,1.31221,
0.0586401,2.03567,1.31281,0.0162299,0.0262686,0.000532733,-0.00662814,0.268071,0.263564,0.251229,0.263352,0.274248,0.26328,0.258198,0.110207,0.110055,0.109631,0.110042,0.110414,0.110042,0.10987,-0.0185877,-0.0352173,0.0223161,0.000459782,-0.0217833,-0.00708792,3.75846,0.0773973,-4.13325,-0.0851152,4.03461,1.31279,
0.0667627,2.03562,1.31269,0.012935,0.0200817,0.000542391,-0.00673918,0.27779,0.272651,0.258544,0.272393,0.284849,0.272295,0.266487,0.112013,0.11181,0.111246,0.111794,0.11229,0.111794,0.111564,-0.016124,-0.0333253,0.022691,0.000467332,-0.0221486,-0.00720652,3.75853,0.0773538,-4.13312,-0.0850632,4.03436,1.31267,
0.0748994,2.0358,1.31278,0.0142356,0.0186517,0.000549793,-0.00684718,0.287602,0.2818,0.265926,0.281524,0.295549,0.281411,0.274855,0.113915,0.113655,0.11293,0.113634,0.114271,0.113634,0.113338,-0.016175,-0.0316359,0.023052,0.000474884,-0.0225022,-0.00732206,3.75847,0.0773545,-4.13288,-0.0850602,4.03436,1.31275,
