time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.85629,0.791387,-0.00629387,-0.0221228,0.000634486,-0.0112723,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.00621367,0.00974468,0.000634486,-0.0112723,0,5.82077e-11,4.29243,0.0140668,-0.0799966,0.77521,0,0,
0.00847354,2.85613,0.791339,-0.0084669,-0.0194934,0.000636022,-0.0112716,0.235704,0.234061,0.233049,0.233723,0.233729,0.233733,0.23373,0.10067,0.100671,0.100671,0.10067,0.100671,0.100671,0.100671,0.00753681,0.00814615,0.000636022,-0.0112716,0,0,4.29245,0.0140677,-0.0801897,0.775161,0,0,
0.0165866,2.85597,0.791526,-0.00998495,-0.0131192,0.000641592,-0.0113503,0.269511,0.26631,0.264342,0.265658,0.26567,0.265677,0.265668,0.101566,0.101555,0.101548,0.101552,0.101553,0.101553,0.101553,0.00881861,0.00392423,0.000641592,-0.0113503,-3.63798e-12,2.91038e-11,4.29246,0.0140602,-0.0803514,0.775357,0,0,
0.0250621,2.85596,0.791173,-0.00868128,-0.0176448,0.000647442,-0.0114445,0.305151,0.300312,0.29733,0.299322,0.299344,0.299347,0.299337,0.102751,0.102716,0.102694,0.102707,0.102709,0.102709,0.102709,0.00853684,0.00496071,0.000647442,-0.0114445,1.45519e-11,0,4.29247,0.0140611,-0.08038,0.775003,0,0,
0.0332851,2.8558,0.791241,-0.0102615,-0.0136876,0.000656272,-0.0115761,0.339541,0.333119,0.329161,0.331807,0.331837,0.331832,0.331827,0.104154,0.104083,0.104039,0.104066,0.10407,0.10407,0.10407,0.00934832,0.00297771,0.000656272,-0.0115761,4.36557e-11,-1.45519e-10,4.29248,0.0140727,-0.0805545,0.775058,0,0,
0.0415201,2.85537,0.790779,-0.0166541,-0.0201928,0.000668642,-0.0117227,0.374058,0.366049,0.361114,0.364416,0.364445,0.36444,0.364439,0.1058,0.105683,0.10561,0.105656,0.105661,0.105661,0.10566,0.0133188,0.00590977,0.000668642,-0.0117227,5.09317e-11,-4.07454e-10,4.2925,0.0140723,-0.0809975,0.774595,0,0,
0.0499276,2.85555,0.790798,-0.0107151,-0.0166442,0.000677428,-0.0119029,0.409178,0.399554,0.393627,0.397596,0.397625,0.397618,0.397623,0.107727,0.107551,0.107442,0.10751,0.107517,0.107517,0.107517,0.0113653,0.00484006,0.000677428,-0.0119029,-2.91038e-11,-4.94765e-10,4.2925,0.0140723,-0.0808201,0.774615,0,0,
0.0583425,2.85529,0.790989,-0.0138782,-0.0104298,0.000691594,-0.0121159,0.444348,0.433107,0.426188,0.430829,0.43085,0.430851,0.430847,0.109904,0.109657,0.109504,0.109601,0.109609,0.109609,0.109609,0.0124734,0.000751018,0.000691594,-0.0121159,-8.00355e-11,-5.52973e-10,4.2925,0.0140826,-0.0810766,0.774794,0,0,
0.0664611,2.85522,0.790802,-0.0131552,-0.0123275,0.00070572,-0.0123498,0.478784,0.46596,0.458071,0.463376,0.463381,0.46338,0.463378,0.112241,0.111915,0.111712,0.111842,0.111851,0.111851,0.111851,0.0124713,0.000206389,0.00070572,-0.0123498,-1.52795e-10,-3.49246e-10,4.29249,0.0140708,-0.0811458,0.77462,0,0,
0.0747648,2.85496,0.790692,-0.0159323,-0.0124617,0.000722384,-0.0126016,0.513835,0.499399,0.490527,0.496511,0.496493,0.496495,0.49649,0.114868,0.11445,0.11419,0.114356,0.114368,0.114368,0.114368,0.0140784,-6.76918e-05,0.000722384,-0.0126016,-1.52795e-10,-4.07454e-10,4.29248,0.0140728,-0.081388,0.774509,0,0,
