time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,2.05902,0.965559,-0.00182726,-0.0143468,0.00121244,-0.00817947,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.00363702,0.00738152,0.0208593,-0.00350587,-0.0196469,-0.0046736,3.91774,-0.658462,-4.30951,0.724308,4.05902,0.965559,
0.00826581,2.05908,0.965491,-0.000471878,-0.0134056,0.00121216,-0.00817906,0.209668,0.208882,0.207256,0.209392,0.210502,0.208829,0.20828,0.101141,0.101142,0.101145,0.101141,0.101139,0.101142,0.101143,0.00254627,0.00662264,0.0208593,-0.00350579,-0.0196472,-0.00467327,3.91774,-0.658447,-4.30951,0.724292,4.05908,0.965491,
0.0165056,2.05862,0.965306,-0.00901855,-0.0147757,0.00122871,-0.00827197,0.219461,0.217864,0.214643,0.218951,0.221179,0.217806,0.21669,0.102381,0.102374,0.102359,0.102377,0.102388,0.102373,0.102368,0.00880311,0.00736205,0.0210971,-0.00354612,-0.0198683,-0.00472585,3.91782,-0.65853,-4.30943,0.724354,4.05844,0.965335,
0.0250049,2.05855,0.965086,-0.0087377,-0.0165654,0.00124401,-0.00837176,0.229997,0.227552,0.222592,0.22922,0.232658,0.22744,0.225744,0.103766,0.103741,0.103688,0.103756,0.103793,0.103739,0.103721,0.0108394,0.00892233,0.0213535,-0.00358922,-0.0201095,-0.00478255,3.91782,-0.65853,-4.30925,0.724325,4.05821,0.965144,
0.0333665,2.05884,0.965064,-0.00203964,-0.0143807,0.00125916,-0.00848424,0.240367,0.237072,0.230443,0.239359,0.243989,0.236919,0.234666,0.105241,0.105187,0.105076,0.105222,0.105299,0.105184,0.105147,0.00646008,0.00773959,0.0216386,-0.00363758,-0.0203794,-0.00484666,3.9178,-0.658613,-4.30905,0.724386,4.05831,0.965153,
0.0416846,2.05893,0.964993,-4.79291e-05,-0.0134776,0.00127634,-0.00860302,0.250423,0.246296,0.237997,0.249134,0.254929,0.246096,0.243296,0.106818,0.106725,0.106536,0.106786,0.106918,0.106721,0.106657,0.00334857,0.00652462,0.0219409,-0.00368863,-0.0206646,-0.00491438,3.91779,-0.658658,-4.30887,0.724405,4.05822,0.965112,
0.0498215,2.05941,0.965119,0.00886056,-0.00911814,0.00129298,-0.00872999,0.260365,0.255419,0.245468,0.258779,0.265757,0.255173,0.251835,0.108461,0.108321,0.108037,0.108414,0.108612,0.108314,0.108218,-0.00461062,0.0026572,0.0222633,-0.00374245,-0.0209703,-0.00498753,3.91785,-0.658609,-4.30874,0.72432,4.05852,0.965269,
0.0582759,2.05927,0.965304,0.00490545,-0.0041902,0.00131321,-0.00886246,0.270955,0.265138,0.25342,0.269056,0.27728,0.26488,0.260919,0.11027,0.110072,0.109669,0.110205,0.110485,0.110062,0.109926,-0.00445803,-0.00265432,0.0225978,-0.00379864,-0.0212846,-0.00506382,3.91785,-0.658609,-4.30856,0.72429,4.0582,0.965485,
0.0666636,2.05925,0.965189,0.00360583,-0.00568794,0.00133443,-0.00900653,0.281555,0.274878,0.261393,0.279356,0.288814,0.274545,0.269997,0.112173,0.111906,0.111365,0.112084,0.112462,0.111892,0.111711,-0.00339073,-0.00355765,0.0229648,-0.00386062,-0.0216304,-0.00514592,3.91779,-0.658658,-4.3083,0.724312,4.05798,0.965402,
0.0748949,2.05927,0.965277,0.00354873,-0.00319103,0.00135677,-0.00915841,0.291952,0.284418,0.269216,0.289466,0.300139,0.284046,0.278903,0.114144,0.113801,0.113105,0.114029,0.114516,0.113783,0.113549,-0.00293708,-0.00592109,0.0233501,-0.0039253,-0.0219933,-0.00523311,3.91779,-0.658658,-4.30811,0.724279,4.05782,0.965521,
0.0840569,2.05933,0.96538,0.00413254,-0.000630916,0.00137976,-0.00931555,0.303895,0.29537,0.278205,0.301111,0.313147,0.29497,0.289147,0.11645,0.116011,0.115121,0.116303,0.116925,0.115988,0.115689,-0.00319872,-0.00888396,0.0237484,-0.00399221,-0.0223686,-0.00532334,3.9178,-0.658666,-4.30793,0.724256,4.05769,0.965657,
0.0916002,2.0594,0.965465,0.00482178,0.000974664,0.00140652,-0.00949876,0.313986,0.304634,0.285804,0.310936,0.324152,0.304189,0.297833,0.118453,0.117925,0.116857,0.118276,0.119024,0.117898,0.117538,-0.00380272,-0.0113266,0.0242133,-0.00407026,-0.0228068,-0.0054285,3.9178,-0.658666,-4.30771,0.724219,4.05754,0.965778,
0.100062,2.05868,0.965852,-0.00945583,0.0080457,0.00143424,-0.00965941,0.325313,0.315019,0.294333,0.321984,0.336497,0.314558,0.307552,0.120799,0.120163,0.118875,0.120586,0.121488,0.120131,0.119697,0.00694428,-0.0177847,0.0246165,-0.00413793,-0.0231822,-0.00552148,3.91781,-0.658669,-4.30754,0.724191,4.05663,0.966197,
0.108421,2.05859,0.965011,-0.00970085,-0.00894257,0.00146237,-0.00983983,0.336857,0.325628,0.303021,0.333189,0.349079,0.325109,0.317476,0.123224,0.12247,0.120946,0.122972,0.12404,0.122433,0.121919,0.0110655,-0.00724267,0.0250879,-0.00421705,-0.0236255,-0.00562278,3.91781,-0.658667,-4.30733,0.724154,4.05633,0.96539,
0.116574,2.05863,0.964634,-0.00740617,-0.0145723,0.00149057,-0.0100286,0.34801,0.335845,0.311427,0.344089,0.361242,0.335303,0.327042,0.125698,0.12482,0.123045,0.125405,0.126649,0.124776,0.124178,0.0108568,0.000803794,0.0255743,-0.00429861,-0.0240837,-0.00573003,3.9178,-0.658655,-4.30712,0.724106,4.05616,0.965048,
0.124947,2.05768,0.96457,-0.0240571,-0.0134826,0.00152536,-0.0102228,0.359686,0.346539,0.320265,0.355528,0.374016,0.345997,0.337065,0.128342,0.127327,0.125276,0.128004,0.129442,0.127277,0.126586,0.0236457,0.00275866,0.0260698,-0.00438169,-0.0245445,-0.00584115,3.9178,-0.658644,-4.30691,0.724059,4.055,0.96502,
0.133488,2.05806,0.964063,-0.0130145,-0.0208867,0.00155453,-0.0104273,0.372032,0.357865,0.329567,0.367574,0.387484,0.357306,0.347677,0.131149,0.129983,0.12763,0.130762,0.132413,0.129927,0.129133,0.0198234,0.00907282,0.0265992,-0.00447026,-0.0250447,-0.00595706,3.91786,-0.658614,-4.30676,0.723989,4.05517,0.964549,
0.141718,2.05835,0.963857,-0.00560091,-0.021511,0.00158533,-0.0106465,0.384126,0.368974,0.338655,0.379354,0.40065,0.368372,0.358058,0.133966,0.132645,0.129981,0.13353,0.135399,0.132582,0.131683,0.0127343,0.0116773,0.0271598,-0.00456461,-0.0255745,-0.00608192,3.91782,-0.658647,-4.30648,0.723987,4.05523,0.964382,
0.150096,2.05884,0.963812,0.00449582,-0.0189906,0.00161507,-0.0108671,0.396811,0.380623,0.348214,0.391741,0.414479,0.379986,0.368955,0.136943,0.135454,0.132453,0.136453,0.138559,0.135384,0.134371,0.00236478,0.0105283,0.027722,-0.00465905,-0.026107,-0.00620809,3.91781,-0.65866,-4.30625,0.723964,4.0555,0.964374,
0.158514,2.05898,0.963884,0.00635879,-0.0146533,0.00164887,-0.0111007,0.409387,0.392145,0.357682,0.404027,0.428195,0.391493,0.379754,0.140053,0.138384,0.135023,0.139506,0.141865,0.138307,0.137171,-0.00282146,0.00655329,0.0283156,-0.00475863,-0.0266667,-0.00634207,3.9178,-0.658657,-4.30601,0.723922,4.05541,0.964485,
0.166586,2.05862,0.963618,-0.00128792,-0.0173695,0.00168761,-0.0113423,0.421729,0.403451,0.367021,0.416124,0.441692,0.402775,0.390343,0.143143,0.141292,0.137566,0.142539,0.145154,0.141208,0.139948,0.00122351,0.00701211,0.028935,-0.00486262,-0.0272474,-0.00647963,3.91781,-0.658664,-4.30577,0.72389,4.0548,0.964259,
0.175064,2.05907,0.963943,0.00747119,-0.00851307,0.00172054,-0.011586,0.435091,0.4157,0.377123,0.429195,0.456301,0.415013,0.401828,0.146498,0.144445,0.140316,0.14583,0.148728,0.144353,0.142956,-0.00405535,0.000147796,0.02955,-0.0049658,-0.0278295,-0.00662018,3.91781,-0.658664,-4.30554,0.72385,4.05503,0.964623,
0.183429,2.05901,0.964374,0.00520017,0.000907565,0.00175998,-0.0118511,0.448673,0.428149,0.387399,0.442501,0.471158,0.427446,0.41352,0.149924,0.147662,0.143115,0.149192,0.152384,0.147562,0.146023,-0.0041808,-0.00985123,0.0302169,-0.00507777,-0.028457,-0.00677329,3.91781,-0.658673,-4.30529,0.723818,4.05472,0.965097,
0.191726,2.05946,0.964316,0.0126591,-0.000320007,0.00179666,-0.0121181,0.462432,0.440771,0.397789,0.455987,0.486174,0.440043,0.425342,0.153442,0.150961,0.145979,0.152643,0.156141,0.150853,0.149165,-0.00994386,-0.0127653,0.0308977,-0.00519198,-0.0291011,-0.00692617,3.91781,-0.658671,-4.30504,0.723773,4.05491,0.965081,
0.199911,2.05935,0.96423,0.00879613,-0.00186295,0.00183824,-0.0123919,0.476267,0.453465,0.408235,0.469518,0.501288,0.452713,0.437249,0.157029,0.154321,0.148889,0.156162,0.159975,0.154206,0.152364,-0.00905557,-0.0128429,0.031596,-0.00530908,-0.0297578,-0.00708278,3.91781,-0.658664,-4.30478,0.723722,4.05454,0.965038,
0.208263,2.05888,0.963986,-0.00133763,-0.00614182,0.00188334,-0.0126697,0.490685,0.466702,0.419134,0.483616,0.517041,0.465908,0.449635,0.160808,0.157859,0.151946,0.159869,0.16402,0.157735,0.15573,-0.00088468,-0.00976673,0.0323076,-0.00542848,-0.0304242,-0.00724119,3.9178,-0.658665,-4.30452,0.72368,4.05382,0.964837,
0.216839,2.05992,0.964418,0.0184543,0.00302229,0.00191924,-0.0129675,0.505662,0.480422,0.43046,0.498319,0.533406,0.479647,0.462498,0.164818,0.161608,0.155179,0.1638,0.168315,0.161476,0.159294,-0.0131148,-0.0159879,0.0330568,-0.00555427,-0.0311375,-0.00741323,3.9178,-0.658675,-4.30424,0.723645,4.05458,0.965315,
0.225153,2.05903,0.965455,-0.00107448,0.021908,0.00197259,-0.0132878,0.520422,0.49396,0.441625,0.512791,0.549539,0.493195,0.475162,0.168831,0.165358,0.158406,0.167736,0.172617,0.165217,0.162856,-0.00249848,-0.0330949,0.033851,-0.00568742,-0.0318784,-0.00760034,3.91779,-0.658662,-4.30395,0.723584,4.05341,0.966399,
0.233261,2.0589,0.96542,-0.00330724,0.0179984,0.00202011,-0.0136001,0.535247,0.507578,0.452809,0.527284,0.565725,0.506775,0.48792,0.172863,0.169122,0.16164,0.17169,0.176943,0.168973,0.16643,0.00310893,-0.0365998,0.0346455,-0.00582075,-0.0326254,-0.00777932,3.91779,-0.658666,-4.30366,0.723541,4.053,0.966412,
0.241835,2.05825,0.964399,-0.0150564,-0.0041643,0.00207261,-0.0139055,0.551045,0.522075,0.464752,0.542791,0.582976,0.521269,0.501463,0.177256,0.17322,0.165155,0.175997,0.181661,0.173063,0.17032,0.0143662,-0.0209355,0.0354437,-0.00595454,-0.0333711,-0.00795094,3.91783,-0.658659,-4.30343,0.723486,4.05206,0.965438,
0.25018,2.05873,0.963957,-0.00356675,-0.0117638,0.00211938,-0.0142435,0.566632,0.536361,0.476524,0.558109,0.599992,0.535558,0.514842,0.181663,0.17733,0.168674,0.180318,0.186397,0.177164,0.174217,0.00964903,-0.00955172,0.0363122,-0.00610042,-0.0341929,-0.00814308,3.91781,-0.658674,-4.3031,0.723451,4.05225,0.965047,
0.258396,2.05894,0.964118,0.000739841,-0.00698446,0.00216865,-0.0145874,0.581992,0.550446,0.488148,0.573159,0.616802,0.549645,0.528026,0.186126,0.181488,0.172228,0.184695,0.191195,0.181313,0.178158,0.00462493,-0.00936201,0.0371833,-0.00624661,-0.0350146,-0.00834081,3.9178,-0.658679,-4.30279,0.723406,4.05215,0.965259,
0.266601,2.05891,0.96415,0.000200885,-0.00534214,0.00222058,-0.0149344,0.598157,0.56528,0.500401,0.588992,0.634508,0.564436,0.541932,0.190702,0.185748,0.175865,0.189182,0.196118,0.185566,0.182194,0.00322027,-0.0108592,0.0380649,-0.0063945,-0.0358443,-0.00853988,3.9178,-0.658677,-4.30249,0.723352,4.05182,0.965342,
0.27505,2.05905,0.96432,0.00277713,-0.00130212,0.00227227,-0.0152912,0.61501,0.580741,0.513135,0.605527,0.652932,0.579836,0.556458,0.195548,0.190258,0.17971,0.193933,0.201336,0.190068,0.186464,0.000749026,-0.0148201,0.0389683,-0.00654603,-0.036696,-0.0087452,3.9178,-0.658672,-4.30217,0.723294,4.05165,0.965564,
