time,eta0,eta1,etaDot0,etaDot1,uHat0,uHat1,WcHat0,WcHat1,WcHat2,WcHat3,WcHat4,WcHat5,WcHat6,WaHat0,WaHat1,WaHat2,WaHat3,WaHat4,WaHat5,WaHat6,uWall0,uWall1,mud0,mud1,muhat0,muhat1,x0,x1,x2,x3,x4,x5,
0,3.45167,0.787049,-0.0306684,9.27597e-05,-0.00471679,-0.00456608,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0193558,-0.00351538,0.0189065,-0.00115562,-0.0236233,-0.00341045,3.9665,-0.242445,-4.36315,0.26669,5.45167,0.787049,
0.00821433,3.451,0.787183,-0.049252,0.0060109,-0.00471406,-0.0045654,0.22091,0.219425,0.216271,0.220055,0.223278,0.218826,0.21799,0.101131,0.101132,0.101135,0.101131,0.101128,0.101133,0.101133,0.0278733,-0.00624391,0.0189063,-0.00115436,-0.0236204,-0.00341103,3.96647,-0.242181,-4.36311,0.266399,5.451,0.787183,
0.016805,3.45072,0.787294,-0.0428551,0.00866258,-0.00476624,-0.00461719,0.243048,0.239985,0.233584,0.241381,0.248032,0.238832,0.237087,0.102565,0.102549,0.102514,0.102555,0.10259,0.102542,0.102533,0.0282195,-0.00856084,0.0191195,-0.00116703,-0.0238858,-0.00345016,3.96645,-0.242107,-4.36294,0.266308,5.45056,0.787303,
0.0249473,3.45066,0.787215,-0.0298533,0.0020364,-0.00483292,-0.00468154,0.265021,0.260421,0.250747,0.2625,0.272542,0.258642,0.256046,0.104172,0.10412,0.104011,0.104142,0.104254,0.1041,0.104071,0.0223232,-0.00638008,0.0193872,-0.00118324,-0.0242202,-0.0034983,3.96645,-0.242082,-4.36277,0.266271,5.45034,0.787234,
0.033259,3.45047,0.787402,-0.0273052,0.00964387,-0.00490648,-0.0047544,0.287889,0.281667,0.268621,0.284455,0.298064,0.279238,0.275795,0.106062,0.105956,0.105731,0.106002,0.106233,0.105914,0.105854,0.0188397,-0.00909647,0.0196853,-0.00120131,-0.0245918,-0.00355309,3.96645,-0.242064,-4.36262,0.266242,5.45,0.787431,
0.0417087,3.45018,0.787346,-0.030183,0.00349679,-0.00499216,-0.0048385,0.310056,0.302256,0.285933,0.305786,0.322839,0.299204,0.294913,0.108246,0.108065,0.107682,0.108144,0.10854,0.107994,0.107892,0.018814,-0.00733226,0.020034,-0.00122255,-0.0250261,-0.00361595,3.96645,-0.242066,-4.36246,0.266233,5.44954,0.787385,
0.0500423,3.44985,0.787187,-0.0334409,-0.00491884,-0.00509053,-0.00493625,0.332444,0.323049,0.303411,0.327272,0.347859,0.31937,0.314233,0.110645,0.110371,0.109794,0.110491,0.11109,0.110263,0.110111,0.0202553,-0.00282508,0.0204355,-0.00124843,-0.0255261,-0.00368782,3.9665,-0.24235,-4.36234,0.266535,5.44904,0.787236,
0.0582546,3.44967,0.787206,-0.0295572,-0.00223155,-0.0051991,-0.00504299,0.355107,0.344101,0.321088,0.349034,0.373178,0.339858,0.333768,0.113249,0.112865,0.112059,0.113034,0.113874,0.112715,0.112503,0.0189579,-0.00234878,0.0208749,-0.00127561,-0.026074,-0.00376738,3.96652,-0.242429,-4.36219,0.266612,5.44868,0.787266,
0.0669488,3.44967,0.78679,-0.0177269,-0.0200472,-0.00531791,-0.0051546,0.379489,0.366759,0.340126,0.372458,0.400383,0.361789,0.354753,0.11626,0.115741,0.114653,0.115971,0.117106,0.115539,0.115252,0.0128847,0.00602393,0.0213505,-0.00130322,-0.0266684,-0.00385138,3.96648,-0.242174,-4.36198,0.266321,5.44852,0.78686,
0.0751071,3.44957,0.786013,-0.0158153,-0.0472482,-0.00545426,-0.00528334,0.402542,0.388166,0.358147,0.394633,0.426156,0.382568,0.3746,0.119341,0.118676,0.117282,0.11897,0.120426,0.118417,0.118049,0.00966217,0.0218263,0.0218994,-0.00133662,-0.0273537,-0.00394672,3.96648,-0.242174,-4.36179,0.26631,5.44823,0.786094,
0.0833889,3.44922,0.786697,-0.0258267,0.00084528,-0.0055926,-0.00542164,0.427062,0.410926,0.377266,0.418193,0.453517,0.404669,0.395723,0.122708,0.121878,0.120136,0.122245,0.124065,0.121553,0.121094,0.0129614,0.00543969,0.0224594,-0.00137019,-0.028052,-0.00405145,3.9664,-0.242083,-4.36152,0.266198,5.4477,0.78679,
0.0916872,3.44917,0.786809,-0.0182941,0.00553064,-0.00574447,-0.0055698,0.452333,0.434404,0.39701,0.442496,0.481774,0.427438,0.417568,0.126336,0.12532,0.123191,0.12577,0.127997,0.124923,0.124361,0.0106885,-0.00310057,0.0230714,-0.00140719,-0.0288159,-0.00416261,3.96645,-0.242051,-4.3614,0.266152,5.44747,0.786913,
